Individual	Parent1	Parent2	Pedigree
FFR_561	Essex	V68-920	( FFR_561 ( Essex , V68-920 ( York , Dare ) ) )
FFR_646	Bedford	Bay	( FFR_646 ( Bedford , Bay ) )
FH31-3	Fiskeby_V	Harosoy_63	( FH31-3 ( Fiskeby_V , Harosoy_63 ) )
FH_22-815	Harosoy_63	Fiskeby_V	( FH_22-815 ( Harosoy_63 , Fiskeby_V ) )
FH_31-3	Fiskeby_V	Harosoy_63	( FH_31-3 ( Fiskeby_V , Harosoy_63 ) )
FR51_IV	Amsoy_71	Chippewa_64	( FR51_IV ( Amsoy_71 , Chippewa_64 ) )
FWH57-1	Jackson	Lee	( FWH57-1 ( Jackson , Lee ) )
Fabulin	Lincoln	-	( Fabulin ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , - ) )
Faribault	M75-2	L77-906	( Faribault ( M75-2 , L77-906 ) )
Fukuyutaka	Oka_Daizu	Shiro_Daizu_3	( Fukuyutaka ( Oka_Daizu , Shiro_Daizu_3 ) )
